净值日期,累计净值
2008-11-13,1.0
2008-11-14,1.0
2008-11-21,1.002
2008-11-28,1.004
2008-12-05,1.007
2008-12-12,1.009
2008-12-15,1.009
2008-12-16,1.009
2008-12-17,1.01
2008-12-18,1.011
2008-12-19,1.011
2008-12-22,1.012
2008-12-23,1.012
2008-12-24,1.012
2008-12-25,1.011
2008-12-26,1.011
2008-12-29,1.011
2008-12-30,1.011
2008-12-31,1.011
2009-01-05,1.012
2009-01-06,1.012
2009-01-07,1.013
2009-01-08,1.013
2009-01-09,1.013
2009-01-12,1.013
2009-01-13,1.012
2009-01-14,1.01
2009-01-15,1.008
2009-01-16,1.006
2009-01-19,1.005
2009-01-20,1.005
2009-01-21,1.004
2009-01-22,1.005
2009-01-23,1.005
2009-02-02,1.005
2009-02-03,1.004
2009-02-04,1.003
2009-02-05,1.002
2009-02-06,1.002
2009-02-09,1.002
2009-02-10,1.002
2009-02-11,1.002
2009-02-12,1.002
2009-02-13,1.003
2009-02-16,1.003
2009-02-17,1.003
2009-02-18,1.003
2009-02-19,1.003
2009-02-20,1.003
2009-02-23,1.003
2009-02-24,1.003
2009-02-25,1.003
2009-02-26,1.003
2009-02-27,1.003
2009-03-02,1.003
2009-03-03,1.003
2009-03-04,1.003
2009-03-05,1.003
2009-03-06,1.003
2009-03-09,1.003
2009-03-10,1.003
2009-03-11,1.003
2009-03-12,1.003
2009-03-13,1.003
2009-03-16,1.003
2009-03-17,1.003
2009-03-18,1.004
2009-03-19,1.004
2009-03-20,1.003
2009-03-23,1.004
2009-03-24,1.003
2009-03-25,1.003
2009-03-26,1.003
2009-03-27,1.003
2009-03-30,1.003
2009-03-31,1.003
2009-04-01,1.003
2009-04-02,1.003
2009-04-03,1.003
2009-04-07,1.002
2009-04-08,1.002
2009-04-09,1.002
2009-04-10,1.002
2009-04-13,1.002
2009-04-14,1.002
2009-04-15,1.002
2009-04-16,1.002
2009-04-17,1.002
2009-04-20,1.002
2009-04-21,1.002
2009-04-22,1.002
2009-04-23,1.003
2009-04-24,1.003
2009-04-27,1.002
2009-04-28,1.002
2009-04-29,1.002
2009-04-30,1.002
2009-05-04,1.002
2009-05-05,1.002
2009-05-06,1.003
2009-05-07,1.003
2009-05-08,1.003
2009-05-11,1.003
2009-05-12,1.003
2009-05-13,1.003
2009-05-14,1.003
2009-05-15,1.003
2009-05-18,1.004
2009-05-19,1.004
2009-05-20,1.004
2009-05-21,1.004
2009-05-22,1.004
2009-05-25,1.003
2009-05-26,1.004
2009-05-27,1.004
2009-06-01,1.004
2009-06-02,1.004
2009-06-03,1.006
2009-06-04,1.005
2009-06-05,1.005
2009-06-08,1.006
2009-06-09,1.005
2009-06-10,1.005
2009-06-11,1.005
2009-06-12,1.005
2009-06-15,1.005
2009-06-16,1.005
2009-06-17,1.005
2009-06-18,1.005
2009-06-19,1.007
2009-06-22,1.007
2009-06-23,1.004
2009-06-24,1.004
2009-06-25,1.004
2009-06-26,1.004
2009-06-29,1.004
2009-06-30,1.004
2009-07-01,1.004
2009-07-02,1.004
2009-07-03,1.004
2009-07-06,1.003
2009-07-07,1.003
2009-07-08,1.003
2009-07-09,1.003
2009-07-10,1.005
2009-07-13,1.005
2009-07-14,1.005
2009-07-15,1.005
2009-07-16,1.005
2009-07-17,1.006
2009-07-20,1.006
2009-07-21,1.006
2009-07-22,1.006
2009-07-23,1.005
2009-07-24,1.006
2009-07-27,1.007
2009-07-28,1.007
2009-07-29,1.013
2009-07-30,1.014
2009-07-31,1.013
2009-08-03,1.013
2009-08-04,1.013
2009-08-05,1.014
2009-08-06,1.013
2009-08-07,1.013
2009-08-10,1.013
2009-08-11,1.014
2009-08-12,1.012
2009-08-13,1.011
2009-08-14,1.01
2009-08-17,1.01
2009-08-18,1.011
2009-08-19,1.01
2009-08-20,1.011
2009-08-21,1.011
2009-08-24,1.011
2009-08-25,1.011
2009-08-26,1.011
2009-08-27,1.011
2009-08-28,1.012
2009-08-31,1.01
2009-09-01,1.01
2009-09-02,1.01
2009-09-03,1.011
2009-09-04,1.011
2009-09-07,1.011
2009-09-08,1.012
2009-09-09,1.012
2009-09-10,1.014
2009-09-11,1.015
2009-09-14,1.016
2009-09-15,1.015
2009-09-16,1.015
2009-09-17,1.016
2009-09-18,1.016
2009-09-21,1.015
2009-09-22,1.014
2009-09-23,1.014
2009-09-24,1.014
2009-09-25,1.014
2009-09-28,1.013
2009-09-29,1.013
2009-09-30,1.013
2009-10-09,1.014
2009-10-12,1.014
2009-10-13,1.014
2009-10-14,1.015
2009-10-15,1.016
2009-10-16,1.016
2009-10-19,1.017
2009-10-20,1.018
2009-10-21,1.02
2009-10-22,1.021
2009-10-23,1.021
2009-10-26,1.021
2009-10-27,1.02
2009-10-28,1.021
2009-10-29,1.019
2009-10-30,1.029
2009-11-02,1.027
2009-11-03,1.03
2009-11-04,1.03
2009-11-05,1.03
2009-11-06,1.032
2009-11-09,1.032
2009-11-10,1.031
2009-11-11,1.033
2009-11-12,1.034
2009-11-13,1.037
2009-11-16,1.038
2009-11-17,1.038
2009-11-18,1.039
2009-11-19,1.041
2009-11-20,1.042
2009-11-23,1.045
2009-11-24,1.04
2009-11-25,1.045
2009-11-26,1.042
2009-11-27,1.045
2009-11-30,1.047
2009-12-01,1.048
2009-12-02,1.05
2009-12-03,1.054
2009-12-04,1.048
2009-12-07,1.049
2009-12-08,1.049
2009-12-09,1.049
2009-12-10,1.05
2009-12-11,1.051
2009-12-14,1.05
2009-12-15,1.049
2009-12-16,1.049
2009-12-17,1.045
2009-12-18,1.045
2009-12-21,1.046
2009-12-22,1.044
2009-12-23,1.046
2009-12-24,1.048
2009-12-25,1.05
2009-12-28,1.051
2009-12-29,1.054
2009-12-30,1.053
2009-12-31,1.054
2010-01-04,1.054
2010-01-05,1.055
2010-01-06,1.055
2010-01-07,1.054
2010-01-08,1.056
2010-01-11,1.057
2010-01-12,1.061
2010-01-13,1.061
2010-01-14,1.063
2010-01-15,1.063
2010-01-18,1.064
2010-01-19,1.063
2010-01-20,1.062
2010-01-21,1.063
2010-01-22,1.061
2010-01-25,1.061
2010-01-26,1.061
2010-01-27,1.061
2010-01-28,1.062
2010-01-29,1.063
2010-02-01,1.063
2010-02-02,1.063
2010-02-03,1.062
2010-02-04,1.063
2010-02-05,1.064
2010-02-08,1.066
2010-02-09,1.067
2010-02-10,1.068
2010-02-11,1.068
2010-02-12,1.069
2010-02-22,1.068
2010-02-23,1.068
2010-02-24,1.07
2010-02-25,1.072
2010-02-26,1.074
2010-03-01,1.076
2010-03-02,1.078
2010-03-03,1.079
2010-03-04,1.078
2010-03-05,1.078
2010-03-08,1.08
2010-03-09,1.079
2010-03-10,1.079
2010-03-11,1.08
2010-03-12,1.08
2010-03-15,1.08
2010-03-16,1.081
2010-03-17,1.083
2010-03-18,1.084
2010-03-19,1.085
2010-03-22,1.086
2010-03-23,1.089
2010-03-24,1.091
2010-03-25,1.091
2010-03-26,1.093
2010-03-29,1.092
2010-03-30,1.093
2010-03-31,1.096
2010-04-01,1.097
2010-04-02,1.099
2010-04-06,1.1
2010-04-07,1.101
2010-04-08,1.099
2010-04-09,1.104
2010-04-12,1.105
2010-04-13,1.106
2010-04-14,1.105
2010-04-15,1.103
2010-04-16,1.105
2010-04-19,1.105
2010-04-20,1.105
2010-04-21,1.111
2010-04-22,1.113
2010-04-23,1.114
2010-04-26,1.113
2010-04-27,1.112
2010-04-28,1.111
2010-04-29,1.111
2010-04-30,1.111
2010-05-04,1.11
2010-05-05,1.112
2010-05-06,1.111
2010-05-07,1.113
2010-05-10,1.111
2010-05-11,1.109
2010-05-12,1.107
2010-05-13,1.108
2010-05-14,1.11
2010-05-17,1.108
2010-05-18,1.109
2010-05-19,1.113
2010-05-20,1.111
2010-05-21,1.113
2010-05-24,1.114
2010-05-25,1.114
2010-05-26,1.113
2010-05-27,1.115
2010-05-28,1.115
2010-05-31,1.113
2010-06-01,1.111
2010-06-02,1.112
2010-06-03,1.112
2010-06-04,1.113
2010-06-07,1.116
2010-06-08,1.116
2010-06-09,1.116
2010-06-10,1.118
2010-06-11,1.119
2010-06-17,1.116
2010-06-18,1.113
2010-06-21,1.114
2010-06-22,1.114
2010-06-23,1.114
2010-06-24,1.115
2010-06-25,1.114
2010-06-28,1.114
2010-06-29,1.112
2010-06-30,1.112
2010-07-01,1.112
2010-07-02,1.111
2010-07-05,1.112
2010-07-06,1.114
2010-07-07,1.115
2010-07-08,1.116
2010-07-09,1.117
2010-07-12,1.117
2010-07-13,1.118
2010-07-14,1.119
2010-07-15,1.118
2010-07-16,1.12
2010-07-19,1.12
2010-07-20,1.122
2010-07-21,1.122
2010-07-22,1.123
2010-07-23,1.123
2010-07-26,1.123
2010-07-27,1.123
2010-07-28,1.124
2010-07-29,1.124
2010-07-30,1.124
2010-08-02,1.125
2010-08-03,1.124
2010-08-04,1.125
2010-08-05,1.126
2010-08-06,1.128
2010-08-09,1.129
2010-08-10,1.13
2010-08-11,1.131
2010-08-12,1.133
2010-08-13,1.134
2010-08-16,1.134
2010-08-17,1.134
2010-08-18,1.14
2010-08-19,1.141
2010-08-20,1.141
2010-08-23,1.141
2010-08-24,1.141
2010-08-25,1.14
2010-08-26,1.141
2010-08-27,1.143
2010-08-30,1.144
2010-08-31,1.146
2010-09-01,1.146
2010-09-02,1.149
2010-09-03,1.148
2010-09-06,1.147
2010-09-07,1.147
2010-09-08,1.15
2010-09-09,1.149
2010-09-10,1.149
2010-09-13,1.148
2010-09-14,1.148
2010-09-15,1.146
2010-09-16,1.144
2010-09-17,1.145
2010-09-20,1.144
2010-09-21,1.144
2010-09-27,1.145
2010-09-28,1.144
2010-09-29,1.144
2010-09-30,1.146
2010-10-08,1.147
2010-10-11,1.149
2010-10-12,1.147
2010-10-13,1.149
2010-10-14,1.148
2010-10-15,1.148
2010-10-18,1.148
2010-10-19,1.15
2010-10-20,1.147
2010-10-21,1.146
2010-10-22,1.147
2010-10-25,1.149
2010-10-26,1.149
2010-10-27,1.15
2010-10-28,1.151
2010-10-29,1.153
2010-11-01,1.155
2010-11-02,1.154
2010-11-03,1.152
2010-11-04,1.151
2010-11-05,1.151
2010-11-08,1.154
2010-11-09,1.154
2010-11-10,1.155
2010-11-11,1.154
2010-11-12,1.145
2010-11-15,1.153
2010-11-16,1.149
2010-11-17,1.147
2010-11-18,1.149
2010-11-19,1.152
2010-11-22,1.152
2010-11-23,1.15
2010-11-24,1.152
2010-11-25,1.153
2010-11-26,1.153
2010-11-29,1.154
2010-11-30,1.151
2010-12-01,1.152
2010-12-02,1.153
2010-12-03,1.152
2010-12-06,1.15
2010-12-07,1.15
2010-12-08,1.149
2010-12-09,1.147
2010-12-10,1.149
2010-12-13,1.153
2010-12-14,1.154
2010-12-15,1.154
2010-12-16,1.155
2010-12-17,1.156
2010-12-20,1.157
2010-12-21,1.156
2010-12-22,1.155
2010-12-23,1.153
2010-12-24,1.15
2010-12-27,1.147
2010-12-28,1.146
2010-12-29,1.146
2010-12-30,1.146
2010-12-31,1.148
2011-01-04,1.15
2011-01-05,1.151
2011-01-06,1.152
2011-01-07,1.157
2011-01-10,1.157
2011-01-11,1.155
2011-01-12,1.156
2011-01-13,1.155
2011-01-14,1.154
2011-01-17,1.151
2011-01-18,1.149
2011-01-19,1.151
2011-01-20,1.15
2011-01-21,1.15
2011-01-24,1.148
2011-01-25,1.148
2011-01-26,1.149
2011-01-27,1.15
2011-01-28,1.152
2011-01-31,1.153
2011-02-01,1.154
2011-02-09,1.154
2011-02-10,1.155
2011-02-11,1.155
2011-02-14,1.156
2011-02-15,1.156
2011-02-16,1.157
2011-02-17,1.158
2011-02-18,1.16
2011-02-21,1.16
2011-02-22,1.158
2011-02-23,1.159
2011-02-24,1.16
2011-02-25,1.159
2011-02-28,1.161
