date,nav
20020920,1.0
20020923,1.0
20020924,1.0
20020925,1.0
20020926,1.0
20020927,1.0
20021008,1.0
20021009,1.0
20021010,1.0
20021011,1.0
20021014,1.0
20021015,1.0046
20021016,1.0047
20021017,1.0044
20021018,1.0045
20021021,1.0046
20021022,1.0046
20021023,1.0043
20021024,1.0041
20021025,1.0035
20021028,1.0029
20021029,1.0029
20021030,1.0027
20021031,1.0029
20021101,1.0021
20021104,1.0028
20021105,1.0039
20021106,1.0038
20021107,1.0039
20021108,1.0037
20021111,1.0039
20021112,1.004
20021113,1.004
20021114,1.0038
20021115,1.0043
20021118,1.0046
20021119,1.0045
20021120,1.0038
20021121,1.0031
20021122,1.0034
20021125,1.0033
20021126,1.0026
20021127,1.0026
20021128,1.0033
20021129,1.0036
20021202,1.003
20021203,1.0034
20021204,1.0038
20021205,1.004
20021206,1.0041
20021209,1.0041
20021210,1.0039
20021211,1.0039
20021212,1.004
20021213,1.0043
20021216,1.0043
20021217,1.0044
20021218,1.0042
20021219,1.0042
20021220,1.005
20021223,1.0054
20021224,1.0054
20021225,1.0051
20021226,1.0045
20021227,1.0044
20021230,1.0043
20021231,1.0051
20030102,1.0027
20030103,1.0034
20030106,1.0038
20030107,1.0039
20030108,1.0053
20030109,1.0056
20030110,1.0061
20030113,1.0066
20030114,1.0096
20030115,1.0116
20030116,1.0133
20030117,1.0121
20030120,1.0127
20030121,1.0107
20030122,1.0111
20030123,1.0112
20030124,1.013
20030127,1.0137
20030128,1.0139
20030129,1.0144
20030210,1.0125
20030211,1.0131
20030212,1.0144
20030213,1.0136
20030214,1.0144
20030217,1.0133
20030218,1.0136
20030219,1.014
20030220,1.0138
20030221,1.0128
20030224,1.0134
20030225,1.0153
20030226,1.0156
20030227,1.0153
20030228,1.0156
20030303,1.0166
20030304,1.0168
20030305,1.0172
20030306,1.016
20030307,1.0157
20030310,1.0141
20030311,1.0143
20030312,1.0155
20030313,1.0151
20030314,1.0158
20030317,1.0161
20030318,1.0152
20030319,1.0161
20030320,1.0157
20030321,1.0165
20030324,1.0173
20030325,1.0159
20030326,1.0161
20030327,1.0191
20030328,1.0194
20030331,1.021
20030401,1.0214
20030402,1.0212
20030403,1.0206
20030404,1.022
20030407,1.0224
20030408,1.0237
20030409,1.0288
20030410,1.0304
20030411,1.0358
20030414,1.0411
20030415,1.0452
20030416,1.0431
20030417,1.0443
20030418,1.04
20030421,1.0339
20030422,1.0337
20030423,1.0308
20030424,1.022
20030425,1.0201
20030428,1.0303
20030429,1.0266
20030430,1.0294
20030512,1.0358
20030513,1.0311
20030514,1.0356
20030515,1.0403
20030516,1.0412
20030519,1.0412
20030520,1.0392
20030521,1.0385
20030522,1.0414
20030523,1.0455
20030526,1.0475
20030527,1.0468
