date,nav
20091231,446.3
20100104,445.49
20100105,446.46
20100106,445.93
20100107,443.37
20100108,443.35
20100111,443.76
20100112,446.18
20100113,443.47
20100114,446.36
20100115,447.43
20100118,448.78
20100119,448.67
20100120,444.26
20100121,444.47
20100122,441.45
20100125,439.56
20100126,435.9
20100127,435.06
20100128,436.05
20100129,436.52
20100201,435.5
20100202,435.0
20100203,436.45
20100204,436.46
20100205,434.54
20100208,434.27
20100209,434.56
20100210,436.43
20100211,436.71
20100212,438.1
20100222,437.5
20100223,437.17
20100224,439.48
20100225,441.16
20100226,441.25
20100301,442.32
20100302,442.42
20100303,443.39
20100304,440.28
20100305,440.77
20100308,441.75
20100309,441.94
20100310,441.09
20100311,440.88
20100312,439.55
20100315,438.11
20100316,438.74
20100317,441.7
20100318,441.49
20100319,442.32
20100322,442.93
20100323,442.67
20100324,443.37
20100325,442.44
20100326,444.17
20100329,446.27
20100330,446.85
20100331,447.15
20100401,449.22
20100402,449.71
20100406,449.63
20100407,449.65
20100408,448.62
20100409,450.46
20100412,450.76
20100413,450.99
20100414,451.57
20100415,450.13
20100416,449.85
20100419,444.93
20100420,445.5
20100421,449.51
20100422,449.46
20100423,449.01
20100426,448.62
20100427,445.92
20100428,445.15
20100429,442.75
20100430,442.23
20100504,441.39
20100505,443.17
20100506,440.36
20100507,439.04
20100510,438.11
20100511,436.64
20100512,435.71
20100513,437.79
20100514,437.99
20100517,434.27
20100518,435.44
20100519,436.23
20100520,435.25
20100521,436.72
20100524,439.29
20100525,438.33
20100526,438.0
20100527,439.55
20100528,439.58
20100531,437.35
20100601,436.0
20100602,436.76
20100603,436.66
20100604,437.09
20100607,437.41
20100608,437.94
20100609,439.42
20100610,439.63
20100611,439.64
20100617,438.33
20100618,435.17
20100621,437.16
20100622,437.49
20100623,437.26
20100624,437.49
20100625,436.67
20100628,435.94
20100629,432.84
20100630,432.46
20100701,431.6
20100702,431.22
20100705,431.15
20100706,432.84
20100707,433.74
20100708,433.76
20100709,435.75
20100712,436.15
20100713,435.53
20100714,435.86
20100715,434.73
20100716,435.28
20100719,436.93
20100720,438.63
20100721,439.0
20100722,439.95
20100723,440.19
20100726,440.75
20100727,440.58
20100728,442.25
20100729,442.56
20100730,442.39
20100802,443.98
20100803,442.79
20100804,443.46
20100805,443.38
20100806,445.14
20100809,446.1
20100810,444.19
20100811,444.79
20100812,444.43
20100813,445.68
20100816,448.67
20100817,449.5
20100818,449.87
20100819,450.16
20100820,449.25
20100823,449.71
20100824,450.3
20100825,448.95
20100826,449.32
20100827,450.23
20100830,452.42
20100831,453.1
20100901,452.18
20100902,454.37
20100903,455.13
20100906,455.3
20100907,455.69
20100908,456.3
20100909,454.98
20100910,455.41
20100913,456.64
20100914,456.53
20100915,454.59
20100916,452.6
20100917,452.88
20100920,452.25
20100921,452.3
20100927,454.25
20100928,454.0
20100929,453.12
20100930,455.54
20101008,459.2
20101011,460.84
20101012,461.32
20101013,461.58
20101014,461.23
20101015,463.3
20101018,461.65
20101019,464.38
20101020,463.93
20101021,462.98
20101022,464.2
20101025,468.42
20101026,468.91
20101027,467.18
20101028,467.21
20101029,468.23
20101101,472.2
20101102,471.12
20101103,468.53
20101104,470.76
20101105,473.09
20101108,474.74
20101109,474.62
20101110,474.32
20101111,474.35
20101112,466.4
20101115,468.77
20101116,464.17
20101117,460.58
20101118,462.03
20101119,464.96
20101122,464.97
20101123,463.77
20101124,465.44
20101125,466.19
20101126,466.11
20101129,466.36
20101130,463.96
20101201,463.85
20101202,464.45
20101203,463.91
20101206,462.78
20101207,465.09
20101208,464.49
20101209,462.99
20101210,464.29
20101213,467.86
20101214,468.83
20101215,468.48
20101216,468.48
